site,time,timeout,spp,type,defac,final_N,N_remaining,mass_remaining,cellulose,lignin,carbon,nitrogen,CN,LIG_N
ARC,5,4.99,ACSA,L,0.078565863,1.459488589,0.79484568,46.2765,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,6,6,ACSA,L,0.078565863,1.39702906,0.669954683,41.84175,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,7,6.99,ACSA,L,0.078565863,1.493350774,0.713072102,40.589,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,8,7.99,ACSA,L,0.078565863,1.660393144,0.668899083,34.31775,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,9,9.01,ACSA,L,0.078565863,1.716945964,0.564467181,28.32025,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,10,10,ACSA,L,0.078565863,1.88293979,0.715180189,32.32766667,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,1,0.97,DRGL,L,0.078565863,2.601246107,0.826000224,68.31825,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,2,2.02,DRGL,L,0.078565863,2.84251227,0.76201656,57.79075,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,3,3,DRGL,L,0.078565863,3.15431165,0.754802444,51.7635,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,4,3.99,DRGL,L,0.078565863,3.082137004,0.706345013,49.7195,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,5,4.99,DRGL,L,0.078565863,3.60581508,0.727022669,43.09375,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,6,6,DRGL,L,0.078565863,3.737329106,0.624129635,35.62,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,7,6.99,DRGL,L,0.078565863,3.394339221,0.553431797,34.83725,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,8,7.99,DRGL,L,0.078565863,3.851050866,0.598457931,33.3145,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,9,9.01,DRGL,L,0.078565863,3.630393119,0.510960422,30.0395,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,10,10,DRGL,L,0.078565863,3.62137643,0.614964371,36.46725,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
ARC,6,6,FAGR,L,0.078565863,1.351800554,0.807138384,54.24,49.114,26.028,49.4075,0.85,58.39817258,30.15031443
ARC,8,7.99,FAGR,L,0.078565863,1.33743188,0.662516726,44.99933333,49.114,26.028,49.4075,0.85,58.39817258,30.15031443
ARC,1,0.97,PIRE,L,0.078565863,0.480507794,0.71862667,89.8235,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,2,2.02,PIRE,L,0.078565863,0.529971352,0.718597255,81.6645,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,3,3,PIRE,L,0.078565863,0.547597944,0.742917737,81.44325,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,4,3.99,PIRE,L,0.078565863,0.522375921,0.643759369,73.9745,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,5,4.99,PIRE,L,0.078565863,0.657656668,0.802840233,73.27375,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,6,6,PIRE,L,0.078565863,0.778089876,0.865636985,66.841,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,7,6.99,PIRE,L,0.078565863,0.794715657,0.850155422,64.2075,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,8,7.99,PIRE,L,0.078565863,0.829842735,0.8220906,60.264,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,9,9.01,PIRE,L,0.078565863,0.941165598,0.867774352,55.678,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,10,10,PIRE,L,0.078565863,0.840340129,0.828035658,59.1685,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
ARC,6,6,PSME,L,0.078565863,1.076733021,0.779825444,67.85333333,37.27,27.35111111,48.7525,0.82,60.27379213,32.8327649
ARC,7,6.99,PSME,L,0.078565863,1.226181061,0.787455093,60.12575,37.27,27.35111111,48.7525,0.82,60.27379213,32.8327649
ARC,8,7.99,PSME,L,0.078565863,1.485035412,0.638014206,39.988,37.27,27.35111111,48.7525,0.82,60.27379213,32.8327649
ARC,1,0.97,QUPR,L,0.078565863,0.967247271,0.804147714,89.64875,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,2,2.02,QUPR,L,0.078565863,1.202023282,0.871546572,78.1405,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,3,3,QUPR,L,0.078565863,1.225720898,0.752725938,66.96875,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,4,3.99,QUPR,L,0.078565863,1.246951077,0.73295097,63.72225,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,5,4.99,QUPR,L,0.078565863,1.604650168,0.754070677,50.7055,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,6,6,QUPR,L,0.078565863,1.539254508,0.721050909,50.84125,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,7,6.99,QUPR,L,0.078565863,1.626187962,0.547864302,36.29425,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,8,7.99,QUPR,L,0.078565863,1.72490536,0.617148003,40.1205,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,9,9.01,QUPR,L,0.078565863,1.665309588,0.631255353,41.0685,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,10,10,QUPR,L,0.078565863,1.723642751,0.570382607,36.111,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
ARC,1,0.97,RHMA,L,0.078565863,0.331923958,0.660363831,87.8225,36.902,16.952,50.7975,0.4175,126.283126,41.38436101
ARC,2,2.02,RHMA,L,0.078565863,0.396843869,0.726406222,81.0655,36.902,16.952,50.7975,0.4175,126.283126,41.38436101
ARC,1,0.97,THPL,L,0.078565863,0.72145641,0.927127924,86.477,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,2,2.02,THPL,L,0.078565863,0.826318186,0.972542036,79.29675,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,3,3,THPL,L,0.078565863,0.704703642,0.773608741,73.8205,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,4,3.99,THPL,L,0.078565863,0.814279505,0.890468338,73.66425,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,5,4.99,THPL,L,0.078565863,0.566155177,0.533490754,63.405,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,6,6,THPL,L,0.078565863,1.015164102,0.91409396,60.6875,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,7,6.99,THPL,L,0.078565863,0.92187215,0.809734716,59.1125,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
